bank,arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
external,a2_keep,mooman_e052a,2026092423,1,1.0,109532.0,89568.0,19964.0,0.0,0.0,0,,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092423_seat_1.json.gz
external,a2_keep,mooman_e052a,2026092424,0,1.0,95312.0,94988.0,324.0,0.0,0.0,0,,720,DONE/DONE,a23f15340578a5b99382fe90550e3235e577c3b2f6523f8f814b92c3adae7208,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092424_seat_0.json.gz
external,a2_keep,mooman_e052a,2026092424,1,1.0,95312.0,94988.0,324.0,0.0,0.0,0,,720,DONE/DONE,a23f15340578a5b99382fe90550e3235e577c3b2f6523f8f814b92c3adae7208,experiments\learning_round2_20260921\external_bank\replays\a2_keep\mooman_e052a\seed_2026092424_seat_1.json.gz
external,a2_keep,qeinstein_moev2,2026092421,0,0.0,104646.0,107916.0,-3270.0,0.0,0.0,0,,720,DONE/DONE,952794c1ef150612947ef354caa467f8a12cd99436834e5997cda414e2ee1b62,experiments\learning_round2_20260921\external_bank\replays\a2_keep\qeinstein_moev2\seed_2026092421_seat_0.json.gz
external,a2_keep,qeinstein_moev2,2026092421,1,0.0,104646.0,107916.0,-3270.0,0.0,0.0,0,,720,DONE/DONE,952794c1ef150612947ef354caa467f8a12cd99436834e5997cda414e2ee1b62,experiments\learning_round2_20260921\external_bank\replays\a2_keep\qeinstein_moev2\seed_2026092421_seat_1.json.gz
external,a2_keep,qeinstein_moev2,2026092422,0,1.0,115898.0,111295.0,4603.0,0.0,0.0,0,,720,DONE/DONE,a6ab4a8617a14246a83638fda37212b605621ffae992958a904d37d38c45f904,experiments\learning_round2_20260921\external_bank\replays\a2_keep\qeinstein_moev2\seed_2026092422_seat_0.json.gz
external,a2_keep,qeinstein_moev2,2026092422,1,1.0,115516.0,114214.0,1302.0,0.0,0.0,0,,720,DONE/DONE,21388dc3da1dc4db654389c3092dae24ebcb3a1aa55d69f480fb25577e735eb3,experiments\learning_round2_20260921\external_bank\replays\a2_keep\qeinstein_moev2\seed_2026092422_seat_1.json.gz
external,a2_keep,qeinstein_moev2,2026092423,0,1.0,70064.0,51048.0,19016.0,0.0,0.0,0,,720,DONE/DONE,98459d74ea722dfadd033793e482550b44de087d64ec90ce077ae0c0f1d55381,experiments\learning_round2_20260921\external_bank\replays\a2_keep\qeinstein_moev2\seed_2026092423_seat_0.json.gz
external,a2_keep,qeinstein_moev2,2026092423,1,1.0,70064.0,51048.0,19016.0,0.0,0.0,0,,720,DONE/DONE,98459d74ea722dfadd033793e482550b44de087d64ec90ce077ae0c0f1d55381,experiments\learning_round2_20260921\external_bank\replays\a2_keep\qeinstein_moev2\seed_2026092423_seat_1.json.gz
external,a2_keep,qeinstein_moev2,2026092424,0,1.0,123877.0,118192.0,5685.0,0.0,0.0,0,,720,DONE/DONE,3723bf41f9aacdd0984c797fc5304082012861f02215df0a8fd5f0f368f159de,experiments\learning_round2_20260921\external_bank\replays\a2_keep\qeinstein_moev2\seed_2026092424_seat_0.json.gz
